,offense,defense,scoring,elapsed,plays,start_yards_to_goal,yards,drive_result,off_points_gained
204,Colorado State,Utah,1,1.3,7,79,59,FG GOOD,3
205,Colorado State,Utah,0,1.05,3,83,5,PUNT,0
206,Utah,Colorado State,0,1.9166666666666665,3,48,3,PUNT,0
207,Colorado State,Utah,1,4.433333333333334,9,88,53,FG GOOD,3
208,Utah,Colorado State,0,1.6333333333333333,5,80,26,PUNT,0
209,Colorado State,Utah,0,1.35,4,54,8,INT,0
210,Utah,Colorado State,1,2.283333333333333,5,51,51,RUSHING TD,6
211,Colorado State,Utah,0,1.5166666666666666,3,80,1,PUNT,0
212,Utah,Colorado State,1,1.6333333333333333,4,56,56,RUSHING TD,6
213,Colorado State,Utah,0,2.8166666666666664,5,80,24,PUNT,0
214,Utah,Colorado State,1,1.8666666666666667,4,84,84,RUSHING TD,6
215,Colorado State,Utah,0,2.6833333333333336,5,80,19,PUNT,0
216,Utah,Colorado State,0,2.216666666666667,3,80,-4,PUNT,0
217,Colorado State,Utah,0,4.583333333333333,10,38,24,TURNOVER ON DOWNS,0
218,Utah,New Mexico,0,2.65,5,80,19,PUNT,0
219,New Mexico,Utah,0,1.7166666666666668,3,77,5,PUNT,0
220,Utah,New Mexico,1,4.733333333333333,12,70,44,FG GOOD,3
221,New Mexico,Utah,0,1.6166666666666667,3,80,0,PUNT,0
222,Utah,New Mexico,0,2.6833333333333336,6,54,16,TURNOVER ON DOWNS,0
223,New Mexico,Utah,0,1.75,3,61,-11,PUNT,0
224,New Mexico,Utah,0,2.3166666666666664,6,42,18,FG MISSED,0
225,Utah,New Mexico,0,1.3833333333333333,3,76,9,PUNT,0
226,New Mexico,Utah,1,5.566666666666666,12,81,60,FG GOOD,3
227,Utah,New Mexico,1,5.583333333333333,12,77,56,FG GOOD,3
228,New Mexico,Utah,0,2.1,3,80,-4,PUNT,0
229,Utah,New Mexico,0,2.1333333333333333,5,52,13,PUNT,0
230,New Mexico,Utah,0,2.95,5,98,23,PUNT,0
231,Utah,New Mexico,1,4.433333333333334,9,69,69,PASSING TD,6
233,Utah,New Mexico,0,3.5,7,95,87,INT,0
234,New Mexico,Utah,0,1.9166666666666665,4,91,-11,PUNT,0
235,Utah,New Mexico,0,2.716666666666667,6,45,0,PUNT,0
236,New Mexico,Utah,0,3.1,8,91,43,TURNOVER ON DOWNS,0
237,Utah,New Mexico,0,1.8,5,52,17,PUNT,0
238,New Mexico,Utah,0,1.9666666666666668,10,99,53,END OF GAME,0
239,Utah,TCU,0,1.8,5,74,21,PUNT,0
240,TCU,Utah,1,3.3,8,84,64,FG GOOD,3
241,Utah,TCU,0,1.5333333333333332,3,70,-1,PUNT,0
242,TCU,Utah,1,2.1,6,72,72,RUSHING TD,6
243,Utah,TCU,1,3.65,8,71,40,FG GOOD,3
244,TCU,Utah,0,4.183333333333334,10,85,46,PUNT,0
245,Utah,TCU,0,3.4833333333333334,6,91,18,PUNT,0
246,TCU,Utah,0,1.6333333333333333,3,61,-11,PUNT,0
247,Utah,TCU,0,3.2333333333333334,5,68,30,PUNT,0
248,TCU,Utah,0,1.3666666666666667,3,98,0,PUNT,0
249,Utah,TCU,0,1.7,4,44,9,TURNOVER ON DOWNS,0
250,TCU,Utah,0,1.35,6,65,12,INT,0
251,Utah,TCU,1,0.6666666666666666,5,43,23,FG GOOD,3
252,TCU,Utah,0,4.866666666666667,10,80,45,PUNT,0
